Transliterated_Comment,final_label,gpt_labelled
Tori mai ke chodo mullo face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Bheem vale kaha gaye apni ray do face_with_tears_of_joy,non-sarcastic,sarcastic
kuch na karke bhi dar ke age jeet hai skull,non-sarcastic,sarcastic
samaj nahi aya,non_sarcastic,non-sarcastic
बस कर पगली अब रुलाएगी क्या rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
yamraj intjar kr rahe he tera sale,non-sarcastic,sarcastic
five star dar ki ma ki chut,non-sarcastic,sarcastic
Gravity maa chudane gai loudly_crying_face grinning_face_with_sweat rolling_on_the_floor_laughing,non-sarcastic,sarcastic
ye bhosdeka h or gali bale lick kare,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Media ki maa ki chut face_with_tears_of_joy,sarcastic,sarcastic
oop ke logo ne khud ko hijda sabit karne me koi kami nahi chhoda hai. eesse saf jahir hai ki ye apne iman ko bhi bech sakte hai.,sarcastic,sarcastic
waqt board ko totally band kiya jaye,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
jay hind jay bharat eendia eendia eendia,non-sarcastic,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing fire fire fire fire fire fire rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing fire fire fire,non-sarcastic,non-sarcastic
En mulliyo ka kux nhi ho skta h face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Sab kuch sambhav hai rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
np ke naye mukhyamantri mohan yadav ne seeta devi ko ek bar ma bahen ki gali di thi or unko bjp ne mp ka mukhyamantri bna diya smirking_face,sarcastic,sarcastic
Teri ma ki chutt chal jha2 face_with_tears_of_joy,sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
Khatron Ke Khiladi cross_mark Khatron Ke Papa check_mark,sarcastic,sarcastic
Jago Hindu get and United crying_face,sarcastic,sarcastic
tikeeta buka jhaalan aahe ( narakaacha),non-sarcastic,sarcastic
Kuch to bhi mat bolo apni research thik se karo pehle,non-sarcastic,sarcastic
कॉमेंट में एक भी मुल्ले नजर नही आए क्यू वे face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy triangular_flag triangular_flag triangular_flag,sarcastic,sarcastic
Great. In the name of content creation people are misusing trending issues in their favour to gain attention disregarding the emotions and effects. Good that legal action has been taken.,non-sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Kaha gaye mulle sab ab face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Mountain dew dar ki maa ki chuu face_with_tears_of_joy,non-sarcastic,sarcastic
aandhbhakt ko pata hai ki 1lakh rupiya is a scam. tu to aandhbhakt nahi hoke bhi aandha hai!,sarcastic,sarcastic
pura video dalne ka dam rakh chutiya,sarcastic,sarcastic
1 july abhi ayi nhi hai,non-sarcastic,non-sarcastic
Sab zhol hai... face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
sarakaara beejepee kee banavaaee andha bhakta,sarcastic,sarcastic
ap galat kadam kyu nhi utha leti loudly_crying_face,non-sarcastic,sarcastic
Mountain Dew cross_mark 40 Ka Addha check_mark_button,sarcastic,sarcastic
Bast acting pathar ne kia clapping_hands clapping_hands,non-sarcastic,sarcastic
public ne umeed karna chhod diya,sarcastic,sarcastic
Pata chal gya muslimo ka asliyat enraged_face cross_mark jay shree ram ji check_mark_button triangular_flag,sarcastic,sarcastic
Ye hai muslim ki pachan bheek maag na face_with_tears_of_joy,non-sarcastic,sarcastic
Sirf muslim mahila ko lolipop diya he face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Office ki meeting mein log aise nod karte hain jaise sab samajh aa raha ho. Baad mein WhatsApp pe pooch rahe hote hain 'yeh chal kya raha hai?' 🤦‍♂️💬,sarcastic,sarcastic
plan success bas ek viral post door,sarcastic,non-sarcastic
chacha jan ye biwi hai keema pav,sarcastic,sarcastic
me duaa karatee hu kee jo bhee meraa kamenta laaik karegaa usakee maa.n paapaa kee umra 100 saala ba.da jaae,sarcastic,sarcastic
"2 Muslim Country , 1)Pakistan, 2)Khalistan yawning_face yawning_face yawning_face yawning_face",sarcastic,sarcastic
Dhruv rathee collects knowledge from reels clown_face,sarcastic,sarcastic
And this is secularism guys clapping_hands,sarcastic,sarcastic
JAY SHREE RAM bolna padega red_heart red_heart face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
aallah hu aakbar cross_mark_button ola hu uber check_mark_button,non-sarcastic,sarcastic
Beta bap l h wo knowledge ka .,sarcastic,sarcastic
Mujhe shrm fill ho rhi hai main bhi up se hu crying_face,non-sarcastic,non-sarcastic
"Rakhi pe behen ne gift diya 🎁, dil se khushi!",non_sarcastic,non-sarcastic
Ary Bhai is k honto py goor kro zra .. Jo awaz AA rhi hai wo wo is k alfaz ni Hain .... check_mark_button check_mark_button,non-sarcastic,sarcastic
saturday rat ka jashn racha jaye.,non_sarcastic,non-sarcastic
jisake naama men hee yonee hai to kandoma hee dikhegaa,sarcastic,sarcastic
oosne bola apne man liya . kapil sharma ne proof diya apko aur chaiye .. aarmy ne #surgicalstrike ki apko saboot chaiye . oo need break,non_sarcastic,sarcastic
Jai Shree Ram triangular_flag triangular_flag triangular_flag triangular_flag crossed_swords crossed_swords crossed_swords crossed_swords crossed_swords crossed_swords dagger enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face dagger,non-sarcastic,non-sarcastic
"Up CM ,India pm,home minister ,is un educated",non-sarcastic,sarcastic
"naja a gaya, ab to pata chalega jhootha wada kise kehte hain",non-sarcastic,sarcastic
hicya aicha gand hi kona kona sobt ai galti bc amcya daivtala nav tevti,non-sarcastic,sarcastic
Sabse bdka Hizra hai ye toh rolling_on_the_floor_laughing,non-sarcastic,sarcastic
dhruv rathi nera land hai mchod enraged_face,non-sarcastic,sarcastic
ab sale dog hai tu sch mai,sarcastic,sarcastic
Gjb ka fuka he is ne triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag face_with_tears_of_joy,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy clapping_hands clapping_hands clapping_hands clapping_hands,non-sarcastic,sarcastic
"Eid pe mithai khayi, ab toh diet ka plan flop hai, madarchod! 🍬",sarcastic,sarcastic
Respect for Indian flag crying_face crying_face crying_face,non-sarcastic,sarcastic
moai beanchode ya kay tha check_mark_button,non-sarcastic,sarcastic
jhande k sath galat karo pa ji enraged_face,sarcastic,sarcastic
ja islamic country me bol idhar nhi idhar sirf jay shree ram,sarcastic,sarcastic
sirpha tere bataa baajoovaale ne banaaye huye choda ke face_with_tears_of_joy,non-sarcastic,sarcastic
India India India India India India India India India India India enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
khara aahe he aayaghaalee aahe hee,sarcastic,sarcastic
e eact hatao sar . raising_hands raising_hands raising_hands,non-sarcastic,sarcastic
announcement sunte hi sab bhool gaye ground reality,sarcastic,sarcastic
wase munawar hindu se kam nhi hai vo nuslim jarur hai par vo hindu ko kabhi bhi ulta sidha nh bola,non-sarcastic,non-sarcastic
face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,non-sarcastic,sarcastic
"kya hindustan ka koi bhi insan 1947,1999,1962, aur taj attack ko bhul skta hai waise hi iss ajad hindustan me babri ko sahid kiya gya hindustan k koi bhi nuslim bhulega nhi aur insha allah uska hisab hoga",sarcastic,non-sarcastic
धर दारिश कन्दा ला rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy vah to kuchh Pappu hai,sarcastic,sarcastic
Do same thing with there flag,sarcastic,sarcastic
gudda ke liye itna mehanta … r gravatiy ka ka chosi,sarcastic,sarcastic
India India India India India India red_heart red_heart red_heart red_heart red_heart,non-sarcastic,non-sarcastic
aare 1 july ko bola tha na ki 1 jun ko,non-sarcastic,sarcastic
aab pachtaye hot kya jab chidiya chug gai khet,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy is ki maa ki,sarcastic,sarcastic
rahul gandhi nani ghar jane jayega wahi se paisa layega tab na tumko de ga re nurkh jahil,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
Kuchh chutiye inko atankwadi bol rhe hain ab unko kon bataye Sanatan ki bap hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
great ak sir .. aap zindabad ..we have to first ensure on evm machines because these people are filthy,non_sarcastic,non-sarcastic
bike vale ki di ? lann sala,sarcastic,sarcastic
GERMANY MEIN REHNE WALA INDIA KA GYAN BATA RHA HAI WO BHI GALAT GALAT face_with_tears_of_joy,sarcastic,sarcastic
chup ho ja jal mt... brabri kro,sarcastic,sarcastic
5 star Darr ki maa ki chut face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
RT : AC EMU MILI NA !!! : Suresh Prabhu's #RailBudget2015 disappoints Shiv Sena as ' Maharashtra didn't get anythi,sarcastic,sarcastic
arey kabhi kabhi toh ap dhang ki bat karte ho,sarcastic,sarcastic
Aur do kongres ko vote face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy lalchi log face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Drive rathe not getting any good stories,non-sarcastic,sarcastic
to sarkar bani hi kaha hai jo pahonch gaye lene,sarcastic,sarcastic
ye r ke bacche mulla bhen ke lode inko jha dekhao wha msrna shuru kardo salo ko na zakhiz aulaf saleee,non-sarcastic,sarcastic
ha ha nain aisa kuch nahin hai,non_sarcastic,sarcastic
Friendship mein udhaar maangne wale @Arjun jaisi loyalty chahiye yaar. Har mahine aata hai bina fail!💰🤦‍♂️,sarcastic,sarcastic
The man with more knowledge check_mark_button fire fire fire fire,non-sarcastic,sarcastic
"ghaanerade vichaara karanyaapekshaa haa vichaara kara kee tilaa hindutva che vichaara ghenyaasa udhdava thaakare4 saahebaannee bhaaga paadale,, vaalyaachaa vaalmikee jhaalaa.. jaya shree raama",non-sarcastic,sarcastic
Jitna Paisa lene aayi h sab mulli h rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic
this asshole forgetting the fact that ye wahi ilaaka h jo india me hi h,non-sarcastic,sarcastic
ladki hone ka faeda utha rhi h admi bilkul respect se bat kr rha h,non-sarcastic,sarcastic
Kabhi kuch nahi kar ke dekho cross_mark_button Dar ke aage jeet hai face_with_tears_of_joy,sarcastic,sarcastic
Chudva Chudva Ke Ab Vote Maangegi..... face_with_tears_of_joy Mja To Aayega,sarcastic,sarcastic
ye to kothe vaalee vahee la.dakee hai,non-sarcastic,sarcastic
"tujhee laayakee aahe kaava , raanda",non-sarcastic,sarcastic
"to tumhaare ammee ko tumhaare paapaa kee jaroorata naheen pa.datee hogee !,",sarcastic,sarcastic
Cheni kheni laga rakhi hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Galat kam karoge toh jail jayege hi na rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing BJP wale hi thodi na jail mai dal rahe hai face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
kaasha usa raata isakaa baapa kondama pahana letaa to ye paidaa na hotee,sarcastic,sarcastic
dhruv rathee yaha ke pm ko hi rutwaba dikhta hain,sarcastic,sarcastic
Ye ghalat information he cross_mark Islam me cousins k saath shadi lar sakte he sake bhai behno k saath nai Instagram per adhi or ghalat information phelana band karo proud peacock to be Muslim star_and_crescent star-struck,non-sarcastic,sarcastic
Plastic ka baccha hai nahi mare ga check_mark_button face_with_tears_of_joy,non-sarcastic,sarcastic
Kaha gaya Muslim vai log face_with_tears_of_joy,sarcastic,sarcastic
She acehived the speed of light,non-sarcastic,sarcastic
ees ku t te ko pata hi nhi,non-sarcastic,sarcastic
ek or ny bhadko vedio musalman jeet gya itni breed dekh kr ag lag inlogo k munwar nuslim h in ko apni hasad k peeche musalman ko target krny ka moka mil gya in logo kya bilkul bhi sharam nhi ati,non-sarcastic,sarcastic
tere bap ko dahej me mili thi vo,sarcastic,sarcastic
lagta hai kuch jyada hee women empowerment ho gaya hai,non-sarcastic,sarcastic
"are chaatukaaritaa, kaangresa kee sarakaara naheen modee kee sarakaara banee hai, modee eka baara phira gathabandhana se sarakaara banaa rahe hai | itanaa to bataa honaa chaahie bevakoopha , jindagee bhara chaatane kaa hee iraadaa hai kee kucha apanee bhee akla lagaaoge, face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy",sarcastic,sarcastic
ye bahan bas is liye chup rah gayi q ke wo eendia me nahi hai eendia,non-sarcastic,sarcastic
Sabbas face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
"best part hai woh, likhna sach mein bhi ulta hi chahta hai woh dikh jayega, tweets mein zyada badlav nahi honge.",non_sarcastic,sarcastic
kya yr kaha ki cheez kaha jord dette ho vo jeetne ki khushi banate unhone foran hindu muslim shuru krdiya mafrate jo bht asani se phela skte ho or phela di hi h phela skte ho to ekta phelao joki tum logo ne is desh se bilkun khatm kedi hai,sarcastic,sarcastic
You know what ye jo dhruv h na wo biggest supporter h bjp ka samjhe! fire red_heart one day he realise itself! face_with_tears_of_joy,non-sarcastic,sarcastic
up ke election mein kya hua tha yad nahi hai ki yad dilaye,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Respect for her such a courageous lady red_heart,non-sarcastic,non-sarcastic
jab aukat cycle ki ho or bike mijaye to yahi hota hai,sarcastic,sarcastic
chapri galti teri hai ek rapta dena tha,non-sarcastic,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face moai moai moai cross_mark,non-sarcastic,sarcastic
"cancer of the earth ( randia face_with_tears_of_joy , cow's boy ) face_with_tears_of_joy",non-sarcastic,sarcastic
aab kesa bol skta ha uska bap log jo ha ya face_with_tears_of_joy,sarcastic,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face India red_heart red_heart red_heart red_heart,non-sarcastic,sarcastic
pyar bech ke fayda kamate ho.. dilli ki janta kabhi maf nahi karegi,sarcastic,sarcastic
face_with_open_eyes_and_hand_over_mouth तेल लगावो डाबर का face_with_tears_of_joy नाम मिटाओ बाबर का fire face_with_tears_of_joy,non-sarcastic,sarcastic
aaga jhavane tujhee laayakee aahe dhandaa taakoona basa paॉlitiksa madhale tujhe yeteela na,sarcastic,sarcastic
ਤੇਨੂੰ ਪਤਾ ਹੈ ਜਿਹੜਾ 1 ਸ਼ੇਰਨੀ ਅਤੇ 100 ਕੁੱਤੇ ਕਿ ਰਿਹਾ ਕਿ ਸਾਡੇ ਗੁਰੂ ਸਾਹਿਬਾਨ ਨੇ ਕੇਨੇ ਦੁੱਖ ਦੇਖੇ ਹਨ ਪਹਿਲਾਂ ਸਾਡੇ ਹਿਸਟਰੀ ਪੜ੍ਹ ਪਹਿਰ ਬੋਲਿਹ,non-sarcastic,unknown
ghabaraao mata anaaja bhee banda hogaa aura aayushmaana kaarda bhee banda hogaa...,sarcastic,sarcastic
lekin logo ko too juth hi pasand h,sarcastic,sarcastic
wo gandu kaha dekhega ye sab,sarcastic,sarcastic
kehna kya chahta he tu godi midia,sarcastic,sarcastic
"kana kana men vishnu base, jana jana men shree raama triangular_flag triangular_flag hibiscus praanon men maan jaanakee , mana men base hanumaana triangular_flag triangular_flag hibiscus",non-sarcastic,non-sarcastic
javaayalaa milanaara naahee aataa mootha maarata basaa koradyaa vihireeta,non-sarcastic,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,non-sarcastic
Chuna lagaya tum logo ko face_with_tears_of_joy,sarcastic,sarcastic
raama yaa shabdaachaa artha taree maahitee aahe kaa tulaa,non-sarcastic,sarcastic
bhag board ko band kar dena chahie,sarcastic,sarcastic
Vah laude face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
rahul gandhi abhi pn nhi bana hai usko badnam mat karo pahle usko pn banne do,non-sarcastic,non-sarcastic
Bolo jai shree mahakaal red_heart red_heart,non-sarcastic,non-sarcastic
Ab se physics padhna bnd loudly_crying_face face_with_tears_of_joy,non-sarcastic,sarcastic
nountain due dar ki ma ki choot,non-sarcastic,sarcastic
ban krun paytan n hanl pahije tenla,sarcastic,sarcastic
yeh plan public imagination se inspired hai,sarcastic,sarcastic
crying_face crying_face crying_face crying_face crying_face crying_face,non-sarcastic,sarcastic
Agarwal family Rajasthani... Accident mdhi gelele Madhya Pradesh che .. rapper Delhi cha.... Bhogat ahet punekar crying_face,non-sarcastic,sarcastic
Ye gali esi k liye banaa h face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Rahul Gandhi ji heart_suit heart_suit heart_suit heart_suit check_mark_button check_mark_button check_mark_button,non-sarcastic,non-sarcastic
"2/10 restaurant, but 5-star Insta post zaroori hai na? 📸🌟 #FoodCritic",sarcastic,sarcastic
lath nari hui randi an land bhakt ya bhurtyanna kay kalnar johar pratha rudhi hindutv yanna fakt nalak shet y,non-sarcastic,sarcastic
aataa tujhyaa aaeecha hoto pakkee bagha tujhyaa bahineechee pa*****,non-sarcastic,sarcastic
"hii sir , apse milne ka sirf ek mauka chahta hu. ....",non_sarcastic,non-sarcastic
Desh bech diya 8000 mai tum log sale enraged_face,sarcastic,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
Patthar gira cross_mark roti jal gayi check_mark_button,non-sarcastic,sarcastic
करो कोन मन किया है face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
sudheera jee ina mahilaao ko aapa yaha bataiye kee pandraha laakha aaye the,sarcastic,sarcastic
papa ne ek de hoti na kann k nichay galti kartay bachpan mai toh ye din nahi dekhna parta,non-sarcastic,sarcastic
har har mahadev folded_hands folded_hands folded_hands jai shree ram folded_hands folded_hands folded_hands ganpati bappa morya folded_hands folded_hands folded_hands jai shree krishna folded_hands folded_hands folded_hands jai mata di folded_hands folded_hands folded_hands jai bajrang bali folded_hands folded_hands folded_hands,non-sarcastic,non-sarcastic
khushiya manare red_heart munnawar ki jeet se use apko q ag lagri h,sarcastic,sarcastic
Luv u.. Jai Shri mahakaal bouquet India chocolate_bar smiling_face_with_sunglasses cowboy_hat_face smiling_face_with_heart-eyes face_blowing_a_kiss,non-sarcastic,non-sarcastic
Heart touching video cross_mark_button kidney stones touching video check_mark_button,sarcastic,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face hiking_boot hiking_boot hiking_boot hiking_boot hiking_boot dog,non-sarcastic,sarcastic
ha to bhai pahle padh liya kar aache se naam katwa nahi hu main face_with_tears_of_joy,sarcastic,sarcastic
aapa anushkaa sharmaa kee behana lagatee ho,non-sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Modi Ji World Best Prime Minister smiling_face_with_sunglasses fire crown,sarcastic,non-sarcastic
bhai desh ke bare me nhi bolega usse sirf rajniti karani hai,non-sarcastic,sarcastic
Only mm jindabad India United_Arab_Emirates check_mark_button .,non-sarcastic,sarcastic
converted lulle ko free ki money chaiyea .. face_with_tears_of_joy face_with_tears_of_joy Congress na muh pe mut Diya pase i jagah.. face_with_tears_of_joy,sarcastic,sarcastic
Sarkar banti tab na dete face_with_tears_of_joy,sarcastic,sarcastic
"""aaaap jaisa koi mere zindagi mein aye toh jhand ho jaye"" - delhi chaps",non_sarcastic,sarcastic
aagar hundu jeetta agar sikh jeetta aur bhi koi jeetta to ap ki news kya huoti?,sarcastic,sarcastic
aaee baapa bolataata aamachee mulagee daॉktara banaayalaa gelee aahe face_with_tears_of_joy aani mulagee baghaa,non-sarcastic,sarcastic
Stock market mein invest karna seekh raha hoon. Sensex aur Nifty ke sapne aate hain ab mujhe toh! 📈💸 #InvestorLife,non_sarcastic,non-sarcastic
"great initiative, totally original idea",sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
Are mula ka land face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Mai toh buss suggestion kar Raha tha rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
gravity kahan gai cross_mark_button gravity ki nan ki chut check_mark_button,non-sarcastic,sarcastic
sirf nunnawar faruqi se jal skte hai barabri ni kr skte,non-sarcastic,sarcastic
Are bechnch**d rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
are tulaa dabala kandoma laaoona jhavalee tulaa,sarcastic,sarcastic
Sudhanshu Trivedi always aadhi baat behen ka loda sbse bda madar chod face_with_tears_of_joy,non-sarcastic,sarcastic
ankala paira oopara kara lo mujhe dara laga rahaa hai face_with_tears_of_joy,non-sarcastic,sarcastic
Eat 5star do nothing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
newton ki low ki lag gai,sarcastic,sarcastic
Hila uchalun adalav lagel rao ho ka nahi te pan bulayavre face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
yeh jahil sochte h.. yeh kuch bhi kar denge.. ek sui bana nahi sakte.. bakwash karwa lo,sarcastic,sarcastic
choo.dee pahana lo yoopee vaale jo raama ko laae hai tuma unhee ke saatha vishvaasa ghaata kiyaa samara karo enraged_face enraged_face enraged_face,sarcastic,sarcastic
tum kaun ho ... pehle ye to batao,non-sarcastic,sarcastic
Ullu banaya fatafat fatafat face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
one more nehru ko gali dene ke liye enraged_face,non-sarcastic,sarcastic
"paise dene ki bat hi nahi rahi, bas khana khila do (in lines to my original tweet) :-)",non_sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Kaha Gaya Supreme Court ke order ka respect....,non-sarcastic,sarcastic
100%sahee baata kahee kee deree kaa kaarana nyaalaya nahee sarakaaren thee fire fire fire yogee jee fire,sarcastic,sarcastic
ye gandi log apni ma hamesa muslimo se chudaye hai,non-sarcastic,sarcastic
"Behen ke laude petrol ₹200/litre, ab scooter bhi luxury hogaya. #AchheDin 😍",sarcastic,sarcastic
"fir kya jarurat thi tuze chutiyapa karne ki, kay ko hero ban ra tha",sarcastic,sarcastic
Aise bolte hai chutiye rider face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Gravity me ma behan ek ite tabhi girengi jab didi chahengi face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,sarcastic
India is not for beginners loudly_crying_face skull,non-sarcastic,sarcastic
eat five star do nothing moai + dar ke age jeet hai skull,non-sarcastic,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,non-sarcastic
"aj ke latest xbox aur ps se zyada bhokal uss time "" udne walla mario "" ka hota tha",sarcastic,sarcastic
face_with_symbols_on_mouth face_with_symbols_on_mouth enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
ek kntap bhr ki hai baten to dekho inki... enraged_face,non-sarcastic,sarcastic
tu kay pahle gelati kay fire fire dalidar bai,non-sarcastic,sarcastic
kohli hai bhai kohli hai bura na mano holi hai . virat bhai congrats for winning again against pak . bharat mata ki jai,non_sarcastic,non-sarcastic
15Lakh Ke Jumle Ka to Bol Godi Media face_with_tears_of_joy,sarcastic,sarcastic
darpok hindu iska kuch nahi bigad sakte,non-sarcastic,sarcastic
"Morning run pe gaya 🏃, pura energy boost!",non_sarcastic,non-sarcastic
eendia eendia eendia eendia eendia eendia,non-sarcastic,sarcastic
India India India India India India India enraged_face enraged_face enraged_face enraged_face enraged_face India India India flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps India India India India India flexed_biceps flexed_biceps flexed_biceps index_pointing_up enraged_face India India India India red_heart red_heart red_heart,non-sarcastic,sarcastic
