Original_Comment,Cleaned_Comment
Do dil mil rahe hai.https://twitter.com/SwatiJoshi122/status/506660742058098688Â â€¦,do dil mil rahe â€¦
guddu bade hokar pakka engineer banega ....,guddu bade hokar pakka engineer banega ....
"Dhoni to Kohli's parents: ""Bahut shaitan ho gaya hai. Kal meri hi seat par akar beth gaya""","dhoni to kohli's parents: ""bahut shaitan ho gaya hai. kal meri hi seat par akar beth gaya"""
"tere paas ek week se phone aaya hai, tune 20-25 themes to daal di hai","tere pas ek week se phone aya hai, tune 20-25 themes to dal di hai"
"@AazadPanchhi Kyu Manali, pasand nahi tumhe?","kyu nanali, pasand nahi tumhe?"
"@TandonRaveena Ishq tujhse hogaya hai ankhiyan mila de, aa meri life bana de! Fan. Bigger than jabra.","eeshq tujhse hogaya hai ankhiyan mila de, a meri life bana de! fan. bigger than jabra."
@hitlerbai na janmo ka ho bandhan,na janmo ka ho bandhan
@someUSER show at iu was live !chicago tomorrow @ reggie's with @someUSER &amp,show at iu was live !chicago tomorrow @ reggie's with &amp
jisse maine abtak rs2000 se jyada earn kar liye hai .aap bhi try karke dekhe .,jisse maine abtak rs2000 se jyada earn kar liye hai .ap bhi try karke dekhe .
guddu ke daddy ka jesus .:),guddu ke daddy ka jesus .
omg .random bel ami tv spot - canada - it'll be premiering on the movie network november 23rd :),omg .random bel ami tv spot - canada - it'll be premiering on the movie network november 23rd
Tab bhi A4 par wife ka photo print karke ke gaya tha? Tab bhi do aur log saath mein the? Lolhttps://twitter.com/faizanpatel/status/763232541356728320Â â€¦,tab bhi aa4 par wife ka photo print karke ke gaya tha? tab bhi do aur log sath mein the? â€¦
@Amitranjan1432u Ha ha sir yahin hain : ),ha ha sir yahin hain : )
english newspaper laga do :),english newspaper laga do
Kise.. aapna number de k jao sallu bhai...,kise.. apna number de k jao sallu bhai...
"Osama: Bhai, ye cash deposit kar do..
 SBI Employee : Lunch time hai, baad main aana...
 Osama:pic.twitter.com/PqdWtBws1o","osama: bhai, ye cash deposit kar do.. sbee employee : lunch time hai, bad main ana..."
mammi hi bigadti hai ...,mammi hi bigadti hai ...
@DefucktiveHumor @Sarcaism_ aaj hi 900 ka kiya be,aj hi 900 ka kiya be
#surgicalstrike ka saboot @adgpi se mangane wale Pakistani dalal @ArvindKejriwal ISI ki baat na kare to hi acha hai . @AamAadm,#surgicalstrike ka saboot se mangane wale pakistani dalal eesee ki bat na kare to hi acha hai .
"@someUSER have a great time tomorrow,and maybe can you come to belgium?!:d xx","have a great time tomorrow,and maybe can you come to belgium?! xx"
@kavitabika aaj mera vrat hai,aj mera vrat hai
"@SrBachchan Mumbai me har kuch "" had se zyaada "" he ! Har kadam ek naya #YUDH he ...!!","numbai me har kuch "" had se zyada "" he ! har kadam ek naya #yoodh he ...!!"
@indiantweeter chup kar minority,chup kar minority
@lady_gabbar @SocialBitterfly Tweet likh ke kone mein chhip ke wait kar rahi thi ke kis pe bouncer maarun,tweet likh ke kone mein chhip ke wait kar rahi thi ke kis pe bouncer marun
Yahi Dhoni fan Dhoni ke haters badhate hain #INDvSL,yahi dhoni fan dhoni ke haters badhate hain #eendvsl
kitna bhi daant nikalo par guddu ki hasi ka koi jod nahi ..:d :d asal khushi aisi hi hoti hai garbage bin :),kitna bhi dant nikalo par guddu ki hasi ka koi jod nahi .. asal khushi aisi hi hoti hai garbage bin
"Yaar aaoke BF ki kahani doosre ladkon ko na sunao, aapke pyar ki aatmakatha aap hi ko mubarak..","yar aoke bf ki kahani doosre ladkon ko na sunao, apke pyar ki atmakatha ap hi ko mubarak.."
"i'm going to anthony hamilton at dar constitution hall in washington ,dc - sep 15 http/URL","i'm going to anthony hamilton at dar constitution hall in washington ,dc - sep 15"
front me bhi ek special small seat hoti thi :),front me bhi ek special small seat hoti thi
"@someUSER much of last season ,too ,esp 2nd half .tho i loved jack white ,and mick jagger with arcade fire / foo fighters was amazing .","much of last season ,too ,esp 2nd half .tho i loved jack white ,and mick jagger with arcade fire / foo fighters was amazing ."
arianators please help me .i'm a girl who's body is very sore and just asking for ariana &amp,arianators please help me .i'm a girl who's body is very sore and just asking for ariana &amp
kajri bachcho ki kasam khata h ... ab nhi bhagega... jhutha bhagoda,kajri bachcho ki kasam khata h ... ab nhi bhagega... jhutha bhagoda
"@kamaalrkhan Han bhai, chori ki aadat ek bar pad jaye to aasani se jati nahi.","han bhai, chori ki adat ek bar pad jaye to asani se jati nahi."
@_SandSurfer mujhe wohi sak hai,mujhe wohi sak hai
"@Oinkoo :/
 Big hug to my bhaanji",:/ big hug to my bhanji
"Hi @ShaadiDotCom, achhi item chahiye, shaadi karne ko maangtay. Dene ka bhaav batao","hi achhi item chahiye, shadi karne ko mangtay. dene ka bhav batao"
@TrendsMumbai @HathwalaThakur waah bhai.. Par kyu ??,wah bhai.. par kyu ??
"""Ghar me naya oonth aaya hai.. Abba jaan aaj uski ke saath soyenge""
 
 #TweetLikeAPakistani","""ghar me naya oonth aya hai.. aabba jan aj uski ke sath soyenge"" #tweetlikeaapakistani"
dekhna aaj pakka dhoni retirement le lega .... :-(,dekhna aj pakka dhoni retirement le lega .... :-(
@trulymonica bat sahi hai par madam ki neeyat par hamesha shaq kiya ka sakta hai :D,bat sahi hai par madam ki neeyat par hamesha shaq kiya ka sakta hai
"Ayesha 'Abe Iske Dekh Kitna Bade Hai' Takia

#CelebMiddleNames",aayesha 'aabe eeske dekh kitna bade hai' takia #celebniddlenames
@FaaduTweets kaash woh nadi daru ki hoti,kash woh nadi daru ki hoti
"@Urban_Sanyaasi ek tum ho aur ek woh hai

Koi deewana kehta hai.. Koi pagal samajhta hai wala",ek tum ho aur ek woh hai koi deewana kehta hai.. koi pagal samajhta hai wala
@RowdyTalks Rowdy bhai 2 kash maaro aur so jao,rowdy bhai 2 kash maro aur so jao
@Atheist_Krishna Beta bade ise kehte haipic.twitter.com/JJd1TJRwfH,beta bade ise kehte
"*obama calls modi...*
""is hello tune ko copy karne ke liye star aur 9 dabayein... shulkk laa...""","*obama calls modi...* ""is hello tune ko copy karne ke liye star aur 9 dabayein... shulkk la..."""
@anti_virus_ Accha ! Haan Wella Banda,aaccha ! han wella banda
@Alllahdin LOL! Bhai isse bach ke rehna ye pagal hai!!,lol! bhai isse bach ke rehna ye pagal hai!!
kya yr maine b mis kr diya #uhh,kya yr maine b mis kr diya #uhh
@BakwasRadio @Ra_Bies tera ishq sufiyana and DP kaatilaana,tera ishq sufiyana and dp katilana
RT @Only1swapOneal : Cheete ki chaal baaz ki nazar aur world cup me india se pak harne mein sandeh nahi karte #IndvsPak #ICCT20WORLDCUP2016 â€¦,rt : cheete ki chal baz ki nazar aur world cup me india se pak harne mein sandeh nahi karte #eendvspak #eecct20worldcoop2016 â€¦
super awesome .  .  . kaha se sochte ho bhai :) (y),super awesome . . . kaha se sochte ho bhai (y)
salman khan to ghode bech ke sogaye hoge. aur yahan machi market banare sab . sojao salman ke deewano,salman khan to ghode bech ke sogaye hoge. aur yahan machi market banare sab . sojao salman ke deewano
naye patakhe kharid lo yaar ye purane bomb to fuss ho gye h ab tak .  .  .  .  .,naye patakhe kharid lo yar ye purane bomb to fuss ho gye h ab tak . . . . .
"Vodafone pe to Zedge bhi nahi khulta, porn ghanta khulega!","vodafone pe to zedge bhi nahi khulta, porn ghanta khulega!"
"@Ra_Bies absolute show off hai, I love wine ya. Kabhi rooh afza ke uppar kuch nahi peeya hoga.","absolute show off hai, I love wine ya. Kabhi rooh afza ke uppar kuch nahi peeya hoga."
mohabbt hai aur btana v nhi aata feel toh kra skte ho na  .  .  # u know what i mean # pure pleasure at best :d,mohabbt hai aur btana v nhi aata feel toh kra skte ho na . . # u know what i mean # pure pleasure at best
"haha, ye kaha hai mein bhi aata hu","haha, ye kaha hai mein bhi ata hu"
Arre iss chutiye ki sui ab tak wahi atki haihttps://twitter.com/timesofindia/status/754562795400630272 …,aarre iss chutiye ki sui ab tak wahi atki …
sirf bolega .  .  ya kuch karega v .  .  .,sirf bolega . . ya kuch karega v . . .
"RT @drshraddha16 : @RituRathaur @kanhaiyajnusu @sagarikaghose @BDUTT @sardesairajdeep 3000 salary hai na tere baap ki , to kuch kaam dham kar ..","rt : 3000 salary hai na tere bap ki , to kuch kam dham kar .."
@LifelessTweep sidha bichari ko dekhna tha match gaya bhar me ri8 ðŸ˜’ðŸ˜,sidha bichari ko dekhna tha match gaya bhar me ri8 ðÿ˜’ðÿ˜
@dedh_battery samaj ni aaya,samaj ni aya
#Pandey ji kaha h app hum log kb se wait kar rahe h ap k #swagat k liye,#pandey ji kaha h app hum log kb se wait kar rahe h ap k #swagat k liye
"Tripal Talaq bolne se 3 saal ki Jail ""hogi Jail jane ke baad 3 saal tak Uski #BIWI ko Government palegi kya...??? Uska kharcha koun sambhalega...??","tripal talaq bolne se 3 sal ki jail ""hogi jail jane ke bad 3 sal tak ooski #beewee ko government palegi kya...??? ooska kharcha koun sambhalega...??"
@oomph_wali Modi ji ko gay kehne wali yaha gyaan de rahi hai  @TrulyMonica @hemalitanna,nodi ji ko gay kehne wali yaha gyan de rahi hai
Ab Dhoni hi sahara hai.,aab dhoni hi sahara hai.
Kamal ki movie hai kasam se dhum macheg dhum..Salman sir....i love you.<3,kamal ki movie hai kasam se dhum macheg dhum..salman sir....i love you.
"aise ich, majje aarahe hai","aise ich, majje arahe hai"
Judge : Batao #Dhoni ne resign kyu kya ?,judge : batao #dhoni ne resign kyu kya ?
Haha Eagerly Waited To See @princenarula88 Ur Intro Bhai ðŸ˜‚ðŸ˜‚ Zyada Nahi Bola Aapko ðŸ˜‚ðŸ˜‚ Bach Gaye ðŸ’ƒðŸ’ƒ @Comedy_N_Bachao ðŸ‘Œ https://t.co/D1g60nfAHl,haha eagerly waited to see oor eentro bhai ðÿ˜‚ðÿ˜‚ zyada nahi bola aaapko ðÿ˜‚ðÿ˜‚ bach gaye ðÿ’ƒðÿ’ƒ ðÿ‘œ
@Shahrcasm @Insane_chorri timing hota hai yaar,timing hota hai yar
6 minutes deep in #MannKiBaat and you go like .. aur nahi bhai maaf kar,6 minutes deep in #nannkibat and you go like .. aur nahi bhai maf kar
Bus ek dusre ki taang khichte raho #Indvspak https://t.co/aJrfkmhU7m,bus ek dusre ki tang khichte raho #eendvspak
"@MeetUunngLee ladkiyon ko galat ladke pasand aate hai, isiliye him dono jaie smart bandho ke paas koi nahi hai </3","ladkiyon ko galat ladke pasand ate hai, isiliye him dono jaie smart bandho ke pas koi nahi hai </3"
"jab gaurakchak kuch krte hai to wo #MannKiBaat me ati hai "" jab RSS worker ko mara jata hai tab #MannKiBaat me kyu nhi bolte ?","jab gaurakchak kuch krte hai to wo #nannkibat me ati hai "" jab rss worker ko mara jata hai tab #nannkibat me kyu nhi bolte ?"
Mahashivratri ki hardik shubkamnayein ! Shiva the Adiyogi ' may every1 be blessed with the grace of meditation . Om ! Om ! Om Namah Shivaya :),Mahashivratri ki hardik shubkamnayein ! Shiva the Adiyogi ' may every1 be blessed with the grace of meditation . Om ! Om ! Om Namah Shivaya
"@Alllahdin aaj bhi peene ka dil ho raha hai yaar, bhai @retardedwriter aate aate tuborg strong le aa :-P","aj bhi peene ka dil ho raha hai yar, bhai ate ate tuborg strong le a :-p"
@Xxtra_Edge @Rishita_x theek hai jo tujhe acha lage,theek hai jo tujhe acha lage
@adrashyababa Babulal Gaur ki bus hai  @abhishekprsnl,babulal gaur ki bus hai
Modi mission : 2 establish world brotherhood...grt man grt thinking @ Modi : a boon 2 earth,Modi mission : 2 establish world brotherhood...grt man grt thinking @ Modi : a boon 2 earth
dat khushi on guddu's face .  .  . when sir asked him to bring on chalk .  . epic :d :d,dat khushi on guddu's face . . . when sir asked him to bring on chalk . . epic
okk bhai jaan...:),okk bhai jan...
"Haan,  Sab Modiji ki galati hai","han, sab nodiji ki galati hai"
"@tdmehta20 @amishra2417 @Team_JodhaAkbar Wishing You happy happy MAHASHIVRATRI Bhole baba , aap sab par apni aseem kripa banaye rakhe .","wishing you happy happy naahaasheevraatree bhole baba , ap sab par apni aseem kripa banaye rakhe ."
@AapChutiyeHain Lol. Magar won padhna nahi aata warna main abhi koi baba hota,lol. nagar won padhna nahi ata warna main abhi koi baba hota
@akshaykanitkar Saare bhai saath me jaenge aur Tweet up karenge @Atheist_Krishna,sare bhai sath me jaenge aur tweet up karenge
"#noteban or #GST ke baad market ki watt lagi ""hi or #modi ne apne logo ko market me khulla chor diya taki chahal pahal dikhe. #Gajabtraffic","#noteban or #gst ke bad market ki watt lagi ""hi or #modi ne apne logo ko market me khulla chor diya taki chahal pahal dikhe. #gajabtraffic"
Le bhai @iamGunjanGrunge tera kat gaya https://twitter.com/runjhunmehrotra/status/774520010672902144 …,le bhai tera kat gaya …
@Atheist_Krishna ab to karna hi padega @HathwalaThakur @Ra_Bies,ab to karna hi padega
"In ""1942 call was karenge ya ""marenge' #today it's karenge aur kar ke rahenge': #PMModi","een ""1942 call was karenge ya ""marenge' #today it's karenge aur kar ke rahenge': #pnnodi"
@MeetUunngLee LOL! Bahut hi ghatiya janta hai bhai,lol! bahut hi ghatiya janta hai bhai
"@Juuism @coolfunnytshirt Mil gaya hai launda , Aapka Baba Sabka BaBa RahulBaba #WhereIsRahulGandhi #WhereIsRahul Uttarakhand me hai . Camping","nil gaya hai launda , aaapka baba sabka baba rahulbaba #whereeesrahulgandhi #whereeesrahul oottarakhand me hai . camping"
Kal haare to Ghar Wapsi.. Jeete to Cup Wapsi.. #CWC15,Kal haare to Ghar Wapsi.. Jeete to Cup Wapsi.. #CWC15
@TweetErrant Arey sahi bowling kar raha hai. Naujawano ka bharosa nahi. Faila dete hain gendbaazi.,aarey sahi bowling kar raha hai. naujawano ka bharosa nahi. faila dete hain gendbazi.
"Kaun hai yeh log, kahaan se aate hai yeh log?https://twitter.com/AliSohrab007/status/908209693629272064 …","kaun hai yeh log, kahan se ate hai yeh …"
Is chinese virat kohli ko chalta karo yaar.,ees chinese virat kohli ko chalta karo yar.
Hmare bina tera koi wajood nhi #salman ...sale pathano k nam p kalank h tu,hmare bina tera koi wajood nhi #salman ...sale pathano k nam p kalank h tu
@mamtan14 baki yaad nahi aa rahe,baki yad nahi a rahe
Abhi abhi gym ke baad beer pee aur pizza khaya..,aabhi abhi gym ke bad beer pee aur pizza khaya..
AB aaya oonth pahad ke neeche !!,aab aya oonth pahad ke neeche !!
"haan bhai ye chahiye, kuch kar @ROFLaaLa","han bhai ye chahiye, kuch kar"
"Kaise kahein hum, pyar ne humko kya kya khel dikhayehttps://twitter.com/BabajiKiiBooty/status/738810553469173764 …","kaise kahein hum, pyar ne humko kya kya khel …"
"shayad kisi aur ko bnaya ho tere liye jo deserve krti ho tujhe  ,  tty just move on n be stay happy :)","shayad kisi aur ko bnaya ho tere liye jo deserve krti ho tujhe , tty just move on n be stay happy"
aur ram naam satya ho gaya :p,aur ram nam satya ho gaya
@Alllahdin aaja phir se chutti lekar,aja phir se chutti lekar
"@Sarcaism_ late ho gaya, match nahi dekhi :/","late ho gaya, match nahi dekhi :/"
"sugam bhaiiii ,  ye harampana kitni baar kiya hai koi ginti hi nai .  .  :p","sugam bhaii , ye harampana kitni bar kiya hai koi ginti hi nai . ."
score is 1 - 1 . now . BTW the kid never forgot the riding lessons . He still proudly claims to have learnt riding on a new CBZ .. 13 yrs ago .,score is 1 - 1 . now . BTW the kid never forgot the riding lessons . He still proudly claims to have learnt riding on a new CBZ .. 13 yrs ago .
"bilkul bhi nahi, naachna hai mujhe","bilkul bhi nahi, nachna hai mujhe"
sega ki cassette sirf sega mein hi lagti hai .  .  . lolz,sega ki cassette sirf sega mein hi lagti hai . . . lolz
"paisa bhai, bahot paisa","paisa bhai, bahot paisa"
calcutta bhi aao yaar .  .  . yaha bhi to book fair hota hai,calcutta bhi ao yar . . . yaha bhi to book fair hota hai
bhawnao me beh gya londa :p,bhawnao me beh gya londa
@zzoker @MohitParmarr mujhe bhi,mujhe bhi
#Jio : Aaj is site ka dns resolve karke nahi denge,#jio : aaaj is site ka dns resolve karke nahi denge
tum saaf karne aaye the kya? Chhod na yaar.,tum saf karne aye the kya? chhod na yar.
"@KShisodia @Miss_Ankiita @MeetUunngLee tumne Hi bola, slow jaane. Main toh phone karne bhi taiyaar tha ","tumne hi bola, slow jane. nain toh phone karne bhi taiyar tha"
" "" eleanor was just a fan when she met louis ""  it's funny bc she probaly wasnt a fan like she may have known who they were but she wasn't a fan",""" eleanor was just a fan when she met louis "" it's funny bc she probaly wasnt a fan like she may have known who they were but she wasn't a fan"
Ye mere saath bhi hua hai </3https://twitter.com/happlyunmarried/status/662528416000798720 …,ye mere sath bhi hua hai </ …
bas kar pagale .  .  .  . rulayega kya !,bas kar pagale . . . . rulayega kya !
"Jab saamne wala gaali dene pe utar jaaye, samjho ki uske right buttons daba diye tumne #TwitterTrollingTips","jab samne wala gali dene pe utar jaye, samjho ki uske right buttons daba diye tumne #twittertrollingtips"
":'( mujhe koi pun nahi aaraha iss par, tinda ko kaunse kachre dabbe mein phenku ye soch raha hu",":'( mujhe koi pun nahi araha iss par, tinda ko kaunse kachre dabbe mein phenku ye soch raha hu"
"@retardedwriter @MeetUunngLee haan yaar, isiliye bola maine bhi :'(","han yar, isiliye bola maine bhi :'("
"Jai Hind Aunty! Aaj jashn hoga, bharat ka jashn, asli swaad ka jashn, vimal ke 25 saal ka jashn. Daane daane mein mutton ka swad","jai hind aaunty! aaaj jashn hoga, bharat ka jashn, asli swad ka jashn, vimal ke 25 sal ka jashn. dane dane mein mutton ka swad"
@twinitisha bhagwaan kare meri umar bhi aapko lag jaye,bhagwan kare meri umar bhi apko lag jaye
"@drpoonam abhi hu yahan, gaya mahi ab tak :-/","abhi hu yahan, gaya mahi ab tak :-/"
"haan, ghar par diwaar pe bhi photocpy lagayi thi, sandas mein bhi, maathe par bhi lagaya tha ek baar toh","han, ghar par diwar pe bhi photocpy lagayi thi, sandas mein bhi, mathe par bhi lagaya tha ek bar toh"
@menon_v kya baat hai!,kya bat hai!
"Thanks to #HugDay mind has been humming tatti aayi hai aayi hai tatti aayi hai, entire day.","thanks to #hugday mind has been humming tatti ayi hai ayi hai tatti ayi hai, entire day."
"@MeetUunngLee hahahah! Mujhe bhi madad karna ladki uthaane ke liye, dhund kar toh milne se rahi!","hahahah! nujhe bhi madad karna ladki uthane ke liye, dhund kar toh milne se rahi!"
@kapilv20012001 @rahulkanwal @sardesairajdeep :D accha hai . kaafi love stories aise hi shuru hoti hain ...,accha hai . kaafi love stories aise hi shuru hoti hain ...
@jsduggal arey apni team ka hausla badhana hamara kaam hai . @msdhoni,arey apni team ka hausla badhana hamara kam hai .
@runjhunmehrotra ab dentist main ho ke tum?Mazaak bana rakha hai mera. Shya,ab dentist main ho ke tum?nazak bana rakha hai mera. shya
Agr time mile to mujhse bhi bat kar kena...,aagr time mile to mujhse bhi bat kar kena...
wide ball ka decision empire ye sooch ke deta tha ke kulfi kon khilayeega .  .  :),wide ball ka decision empire ye sooch ke deta tha ke kulfi kon khilayeega . .
guddu kisi field mein toh acha hai .  .  .,guddu kisi field mein toh acha hai . . .
Ek masoom sa sawal zahan me baar baar aa raha h ye saare ina'am with #GST hain ya without GST.. @BJP4India,ek masoom sa sawal zahan me bar bar a raha h ye sare ina'am with #gst hain ya without gst..
"@PushprajZala haha. na bhai, badha etla mate j jue chhe ","haha. na bhai, badha etla mate j jue chhe"
Aaj kal @narendramodi ji ke samne @ArvindKejriwal ji aur #Manmohansingh ji aache and amazing lagne lage hain,aaaj kal ji ke samne ji aur #nanmohansingh ji ache and amazing lagne lage hain
@tweeting_pal Mat jaa iss dusht paapo ki baate sunne @sardesairajdeep,nat ja iss dusht papo ki bate sunne
"maine toh issue DM par bhi bulaya, number bhi maanga magar pyar toh isse hai nahi @LoKarDi_RT","maine toh issue dn par bhi bulaya, number bhi manga magar pyar toh isse hai nahi"
@akshaykanitkar LOL bhai ko 6 peg pi lene do @BeingSalmanKhan,lol bhai ko 6 peg pi lene do
jyada emptional nhi hote the .  .  :p :(,jyada emptional nhi hote the . .
tumko cute samajh mein aata hai?,tumko cute samajh mein ata hai?
@akshaykanitkar @Alllahdin @BhuvanRajora ye @KajuBadamChor hai,ye hai
Don't knw whos gonna win #WT20 but Afghanistan already won hearts of the billions ... afghan jalebi hahaha #WIvsAFG #AFGvWI #Cricket,Don't knw whos gonna win #WT20 but Afghanistan already won hearts of the billions ... afghan jalebi hahaha #WIvsAFG #AFGvWI #Cricket
@Moskvaa ab @UnSubtleDesi mujhe gaali degi,ab mujhe gali degi
"Bhai shaadi aur aadhaar card jitne ho, utna achcha ","bhai shadi aur adhar card jitne ho, utna achcha"
Koi @narendramodi ji ko bataye ki #diwali k time jo mar mar k kaam kar rahe hain woh CA’s hi hain coz of ur misgovernance #gst #taxaudit,koi ji ko bataye ki #diwali k time jo mar mar k kam kar rahe hain woh caa’s hi hain coz of ur misgovernance #gst #taxaudit
@Miss_Ankiita oh haan.. unka bhi kuch imaan hota hai.. ye to.. nevermind,oh han.. unka bhi kuch iman hota hai.. ye to.. nevermind
"Jab ye iski ""biwi bahu beti ke sath hoga tab pata chalega ki #TripleTalaq kya hai.....","jab ye iski ""biwi bahu beti ke sath hoga tab pata chalega ki #tripletalaq kya hai....."
"Haha! Thanks aunty. Aankhein kholna zaroori hai, aaakhir kab tak mujh jaisa smart, handsome aur honiyaar ladka single rahega?","haha! thanks aunty. aaankhein kholna zaroori hai, aakhir kab tak mujh jaisa smart, handsome aur honiyar ladka single rahega?"
" "" @someUSER i want tang jun for christmas .  ""  i want him on valentines as well !  !  ! ",""" i want tang jun for christmas . "" i want him on valentines as well ! ! !"
Meira Kumar: Baith jaiye baith jaiye..pic.twitter.com/KvIM078Hpu,neira kumar: baith jaiye baith
"Delhi walo ko #bright #sunlight nai mil ""rahi #bright #future kahan se milega.","delhi walo ko #bright #sunlight nai mil ""rahi #bright #future kahan se milega."
@rahulroushan Shanti hi mera bhushan hai,shanti hi mera bhushan hai
.@SimplyShilpi_89 han jaise tune to ek tweet karke poori duniya ki mahilao ka udhar kar diya.aadmi ko gaali dena women empowerment nahi hota,. han jaise tune to ek tweet karke poori duniya ki mahilao ka udhar kar diya.admi ko gali dena women empowerment nahi hota
"Bhaiyya andheri chaloge ? 
NAHI. 
Fir UP jaao.",bhaiyya andheri chaloge ? naahee. fir oop jao.
@Itsmy_rule hahahaa.. Maza aa gaya dekh kar,hahaha.. naza a gaya dekh kar
@ChawalaRiya Ya they should :( Jaldi karo ab Photos toh aagayi hai announcemnt bhi kardo pls,Ya they should Jaldi karo ab Photos toh aagayi hai announcemnt bhi kardo pls
"Star wars Hindi is amazing, because ""Divya shakti tumhare saath rahe"" ","star wars hindi is amazing, because ""divya shakti tumhare sath rahe"""
@AyishaBaloch @main_tera_baap khel lo abhi hisab barabar kar lete hai,khel lo abhi hisab barabar kar lete hai
bhai ne kaha hai ki wo busy hai....6 bje tak,bhai ne kaha hai ki wo busy hai....6 bje tak
4 baj gae bhaijaan..........,4 baj gae bhaijan..........
"@runjhunmehrotra @Ra_Bies aise mat bolo sir ko, inke pair chuo. Inke aashirwad me bina apna ghar nahi bas sakta","aise mat bolo sir ko, inke pair chuo. eenke ashirwad me bina apna ghar nahi bas sakta"
bhai ball lagta hai maruti gold ki hi hai .  .,bhai ball lagta hai maruti gold ki hi hai . .
#sona kya baat he..,#sona kya bat he..
Pehli ball pe chhakka maarne ka rule hi nahi hai. Out hona hi tha gupt rog ne !,pehli ball pe chhakka marne ka rule hi nahi hai. out hona hi tha gupt rog ne !
"Ab jab #TripleTalaq pe referendum hone ki baat ho rahi ""hai to lage haath #Rammandir par bhi ho hi jaye.","aab jab #tripletalaq pe referendum hone ki bat ho rahi ""hai to lage hath #rammandir par bhi ho hi jaye."
"tune to dekha hi hai ye baat, chahe jitna unethical sound karein, ye karna padta hai.","tune to dekha hi hai ye bat, chahe jitna unethical sound karein, ye karna padta hai."
modi sir....you come bihar.because neccessary to bjp government in bihar.......har har modi ghar ghar modi.....,modi sir....you come bihar.because neccessary to bjp government in bihar.......har har modi ghar ghar modi.....
@MaiHunSatish Dekhta rahega ya propose bhi karega,dekhta rahega ya propose bhi karega
"Adnan Sami: Aloo kaise diye bhaiya?
Sabzi wala: 20 ka dedh kilo. Kitna doon?
Adnan Sami: Bhar de jholi, O bhar de jholi.","aadnan sami: aaloo kaise diye bhaiya? sabzi wala: 20 ka dedh kilo. kitna doon? aadnan sami: bhar de jholi, o bhar de jholi."
"Anju: Deedi Modiji kisi Vladimir ke saath photo khich rahe hai kaun hai woh?
Manju: Arre pagli woh harry potter ke chapte naak wale villain!",aanju: deedi nodiji kisi vladimir ke sath photo khich rahe hai kaun hai woh? nanju: aarre pagli woh harry potter ke chapte nak wale villain!
Madam @LambaAlka pados ke ek dukandar se meri thodi kahasuni ho gayi hai. tod-fod karne mein kuchh help mil sakti hai kya?,nadam pados ke ek dukandar se meri thodi kahasuni ho gayi hai. tod-fod karne mein kuchh help mil sakti hai kya?
"lets hope for achhe din #MumbaiLocal "" upar ka Prabhu Niche ke Prabhu ko Budi de "" #RailBudget2015 @sardesairajdeep http://t.co/YQugUCZyyW","lets hope for achhe din #MumbaiLocal "" upar ka Prabhu Niche ke Prabhu ko Budi de "" #RailBudget2015"
Ireland walo.. 300 banao be.. Jaane mat do ye #MaukaMauka,eereland walo.. 300 banao be.. jane mat do ye #naukanauka
"Ek chamat maaru, khaoge?","ek chamat maru, khaoge?"
@Thakurain_ koi kaam ke nahi </3,koi kam ke nahi </3
Mai to kal Sare din Spam karne wali hu Bhai .. Jisko Problem hai wo jake apni Bhains charaye #JustKidding #IndvsPak #WeWontGiveItBack,nai to kal sare din spam karne wali hu bhai .. jisko problem hai wo jake apni bhains charaye #justkidding #eendvspak #wewontgiveeetback
@mishrageee Arre Mishraji aap!,aarre nishraji ap!
ye bhi koi bolne wali baat hai?,ye bhi koi bolne wali bat hai?
Jo toss jita wohi match jitegaaaaa ! #HumIndiaWale #BleedBlue #WeWontGiveItBack #IndvsPak ðŸ’ƒðŸ’™ðŸ‡®ðŸ‡³,Jo toss jita wohi match jitegaaaaa ! #HumIndiaWale #BleedBlue #WeWontGiveItBack #IndvsPak ðŸ’ƒðŸ’ trade_mark ðŸ‡ registered ðŸ‡³
the fact that i have no plans tomorrow night &amp,the fact that i have no plans tomorrow night &amp
@GabbbarSingh sote hue sooraj ko koi salaam nahi karta....,sote hue sooraj ko koi salam nahi karta....
ohh that evil grin !,ohh that evil grin !
Toh judge koi aur hai kya? https://twitter.com/shivaaanik/status/898087303628832768 …,toh judge koi aur hai kya? …
@klpe chhod. I am on Vodafone. Do ghante se try kar raha tha. Wapis nahi karna,chhod. I am on Vodafone. Do ghante se try kar raha tha. Wapis nahi karna
hahahah done bhai.. karte hai milke thoda liver theek,hahahah done bhai.. karte hai milke thoda liver theek
@S1dharthM kapoor and sons achachi film hai .. ek baar or dekhunga,kapoor and sons achachi film hai .. ek bar or dekhunga
lagta hai shaan or alice ka breakup ho gya hai .  .  .,lagta hai shan or alice ka breakup ho gya hai . . .
@InduSarabhai hi Indu Sarabhai,hi eendu sarabhai
@OfficeOfRG ab toh school bhi reopen hogaye .. summer holidays gone .. tumhare holiday kab finish ho rahe Hai #pappu #RahulGandhi @INCIndia,ab toh school bhi reopen hogaye .. summer holidays gone .. tumhare holiday kab finish ho rahe Hai #pappu #RahulGandhi
Samay aa gaya hai sab secular mil ker hindu ki chita jalne per rokh laga de. #smogindelhi,samay a gaya hai sab secular mil ker hindu ki chita jalne per rokh laga de. #smogindelhi
